id_user,id_res,X
baprangbo_1176,678229,0.84
huyhong6306,678229,0.77
huyhong6306,678229,0.74
sunny.tran.35,678229,0.86
cactus131162,637076,0.62
hdtuan93,774728,0.77
michelcuong,629217,0.75
michelcuong,248504,0.63
panda1983,801185,0.89
hdtuan93,801185,0.85
phanquynh1983,801185,0.88
huyhong6306,737949,0.79
michelcuong,629990,0.87
michelcuong,246688,0.58
Tommy2018,774599,0.28
Nhavo1,656453,0.89
hdtuan93,656453,0.79
hdtuan93,656453,0.74
hdtuan93,656453,0.8
hdtuan93,656453,0.72
hdtuan93,243827,0.74
hdtuan93,243827,0.64
mailannn,235415,0.76
Thaitran1408,863287,0.79
dangnhutduy221982,791304,0.89
hdtuan93,665937,0.84
michelcuong,665937,0.6
dovanphuc1991,301183,0.98
bangphan2096,301183,0.88
cactus131162,212751,0.75
hdtuan93,711647,0.7
tlnanh2205,711647,0.73
hdtuan93,711647,0.71
hdtuan93,711647,0.78
hotboybongdem3x,242213,0.66
hotboybongdem3x,242213,0.76
hdtuan93,719593,0.83
hieu.nguyen-trung,719593,0.79
nguyenhuong0911,210385,0.98
hdtuan93,210385,0.74
hdtuan93,210385,0.77
michelcuong,210385,0.75
gaigu,210385,0.63
hdtuan93,700089,0.67
hdtuan93,700089,0.74
hdtuan.agp,700089,0.74
hdtuan93,700089,0.83
xuannghiag_123,241599,0.88
cactus1551994,190444,0.68
ducmanhnguyen1987,242261,0.84
cuuvihothotho,243494,0.82
hdtuan93,769959,0.8
hdtuan93,704113,0.79
hdtuan93,704113,0.84
hdtuan93,704113,0.82
huyhong6306,725668,0.83
huyhong6306,738003,0.84
boystupid1996ag,26654,0.47
jimmy.nguyen1205,26654,0.77
dangnhutduy221982,19310,0.61
xuanphan87,292261,0.24
huyhong6306,292261,0.81
baprangbo_1176,292261,0.85
huyhong6306,292261,0.83
huyhong6306,292261,0.83
nhiimeii,662064,0.2
huyhong6306,292261,0.84
huyhong6306,292261,0.79
Ninhkimanh1996,662064,0.63
Myvan1529,662064,0.73
hdtuan93,85708,0.69
hdtuan93,720680,0.8
khangtrinhdo12,859794,0.96
foodee_xmqw5wz8,163817,0.56
foodee_xmqw5wz8,163817,0.6
foodee_xmqw5wz8,163817,0.63
hdtuan93,163817,0.8
hdtuan93,163817,0.78
phuongnhiyixing,163817,0.81
hdtuan93,163817,0.79
hdtuan93,163817,0.76
kidrock9x,163817,0.77
hdtuan93,163817,0.76
michelcuong,163817,0.85
tranminhthe31a1,163817,0.77
lamthikimthu,163817,0.85
michelcuong,163817,0.77
nguynkimchu6373,163817,0.75
0971159089,163817,0.62
cuacon_pocodo_33,163817,0.86
thanhtruc2111,163817,0.83
huy.tiamo,163817,0.84
01626369858,163817,0.89
nghia.chauphu,163817,0.79
ttbms,163817,0.77
vuongbaochau90,163817,0.94
Trinhdinh158,163817,0.95
ttbms,163817,0.63
huyhong6306,738001,0.76
nguyenthuytrucanh,280481,0.78
anhhungcorom007,280481,0.89
hdtuan93,704178,0.8
hdtuan93,704178,0.63
hdtuan93,769659,0.82
ttbms,188162,0.72
galaxynovar,188162,0.84
ttbms,188162,0.77
nghia.chauphu,210951,0.73
minhkhang_hng,19377,0.86
taysungmientay,19377,0.68
dangnhutduy221982,679543,0.8
hdtuan93,679543,0.83
chyngdia108,679543,0.87
hdtuan93,679543,0.81
hdtuan93,253064,0.74
hdtuan93,253064,0.75
hdtuan93,253064,0.77
lamthikimthu,253064,0.85
michelcuong,253064,0.88
np23101996,253064,0.86
ttbms,253064,0.77
vinhthanh3tc,253877,0.85
ttbms,286104,0.76
cactus1551994,190442,0.72
cactus1551994,188577,0.53
hdtuan93,692062,0.8
hdtuan93,692062,0.79
hdtuan93,692062,0.82
hdtuan.agp,692062,0.78
hdtuan.agp,692062,0.83
hdtuan93,692062,0.81
panda1983,669397,0.85
devol1108,669397,0.86
phung.ngan169,669397,0.87
foodee_zqil6m3b,669397,0.94
ngodaihuy,669397,0.96
hdtuan93,669397,0.75
caovan9861,669397,0.94
trandaitrang2110,669397,0.83
huynhlamquoctrung,669397,0.89
nangsamac54,210836,0.9
cm.giangpham,210836,0.82
hdtuan93,210836,0.7
ngocluu11,210836,0.71
keodang_celina,210836,0.73
lylyarsenal,210836,0.76
khuongtran5268,210836,0.66
Myvan1529,210836,0.69
tuyetpham71,198932,0.85
hdtuan93,198932,0.71
choco.pie.9081,198932,0.89
huyhong6306,198932,0.81
huyhong6306,198932,0.8
huyhong6306,198932,0.82
huyhong6306,198932,0.84
chaodinhduongsnk,198932,0.96
lamthikimthu,198932,0.8
nganhaleng,198932,0.81
huyhong6306,198932,0.72
hdtuan93,131369,0.8
hdtuan93,131369,0.77
ttbms,131369,0.69
hdtuan93,773872,0.83
matbuon712,244536,0.32
huyhong6306,711811,0.78
hdtuan93,704115,0.85
hdtuan93,704115,0.86
hdtuan93,704115,0.74
hdtuan93,711649,0.81
hdtuan93,711649,0.7
hdtuan93,711649,0.67
hdtuan93,166065,0.76
ttbms,166065,0.62
ttbms,166065,0.69
lamthikimthu,636566,0.89
dangnhutduy221982,176549,0.79
suongngocch,176549,0.74
hdtuan93,176549,0.67
vy.pham188,176549,0.82
trang1696,176549,0.78
hdtuan93,176549,0.73
trnhthdimtrang,176549,0.53
hdtuan.agp,176549,0.73
hoang_bao168,176549,0.87
hdtuan93,176549,0.7
anhth1348,176549,0.85
nguyenthuytrucanh,176549,0.73
michelcuong,176549,0.73
tam.phung,176549,0.75
asanokain,176549,0.73
minhthy3209,176549,0.77
0971159089,176549,0.55
aglx.huynhoanh82,176549,0.55
buivuaihien,176549,0.81
thanhtruc2111,176549,0.8
ttbms,176549,0.73
ngoinhachung218931,176549,0.67
Myvan1529,176549,0.71
baprangbo_1176,631024,0.79
huyhong6306,631024,0.84
baprangbo_1176,631024,0.85
huyhong6306,631024,0.85
FodoLee,691059,0.97
nguyen.kimphung.940,691059,0.84
buivuaihien,691059,0.98
hoaithanh020272,691059,0.81
luuhuelinhs,691059,0.93
buivuaihien,691059,0.89
cactus131162,212687,0.72
ronswift,212687,0.83
cactus1551994,163304,0.83
foodee_h65kmn3x,274261,0.12
kimnganne,701172,0.92
tri.do9470,701172,0.9
Hangnguyen24788,116062,0.92
ritachung92,116062,0.93
phuocom,116062,0.28
chaodinhduongsnk,116062,0.97
kriscinachung,116062,0.99
fananhtu,116062,0.82
duongngochongthi,199565,0.84
foodee_ep9cz2gt,252758,0.16
michelcuong,252758,0.67
hdtuan93,720678,0.79
huyhong6306,631648,0.83
ductai.senkhiet,695052,0.96
phapnguyen2378,695052,0.97
tuynmc,695052,0.97
phungchu,695052,0.96
nguyentruongthynhan,695052,0.92
sealanguyen,695052,0.99
hannguyen169,695052,0.96
hoanghaibiz,695052,0.99
thungn6423,695052,0.96
ttbms,26582,0.82
boystupid1996ag,26582,0.8
tieudo_kiemthantihon,26582,0.54
mr.chanlee78,26582,0.57
hdtuan93,799275,0.8
patricklee_us,248557,0.84
hdtuan93,800500,0.81
hdtuan93,253301,0.8
kenv5235,253301,0.98
lamthikimthu,253301,0.71
tnbtam.av,253301,0.53
cactus1551994,212714,0.74
ronswift,212714,0.68
cactus131162,212714,0.61
ronswift,212714,0.57
hdtuan93,630846,0.64
hdtuan93,630846,0.67
hdtuan93,630846,0.65
hdtuan93,770073,0.71
hdtuan93,215388,0.6
lamtin0945755818,215388,0.28
ngongocmaithy,215388,0.48
minhthy3209,215388,0.67
ttbms,286101,0.71
hdtuan93,249323,0.74
hdtuan93,187880,0.73
hdtuan.agp,187880,0.64
hdtuan93,187880,0.67
Mr.lonely1303,187880,0.39
loctran1011,187880,0.86
suongngocch,689583,0.78
hdtuan93,244566,0.82
huyhong6306,244566,0.82
hongtrn6091,244566,0.99
vohoango0o,244566,0.99
quoctinh.ckag,244566,0.97
thorupy,244566,0.96
lethidiemmi.39td,244566,0.96
nguyennguyen7004,244566,0.99
khnhan12qr,244566,0.83
nguyntu1312,244566,0.98
nguyenthanhnam123lx,244566,0.98
pisces0906,244566,0.99
kimkhoale,244566,0.83
yupi1609,244566,0.9
hunghunter23,244566,0.82
huyhong6306,244566,0.85
maivosonnguyen1348,770068,0.23
hdtuan93,770068,0.82
huyhong6306,737960,0.82
hdtuan93,239049,0.71
hdtuan93,239049,0.7
zu.lun3b,200278,0.78
hdtuan93,200278,0.79
anh_kenix,200278,0.72
phamngoc130498,108542,0.82
lanphuong.angel,108542,0.27
nguyentrananhvu180593,108542,0.37
ttbms,108542,0.57
huynhlethuylinh88,108542,0.37
ttbms,108542,0.56
kwonzun612,108542,0.4
ttbms,166299,0.69
hdtuan93,253277,0.89
hdtuan93,253277,0.79
hdtuan93,253277,0.84
mrdoanblue,253277,0.8
michelcuong,253277,0.62
np23101996,253277,0.88
lenp,253277,0.78
hdtuan93,133444,0.71
huyhong6306,133444,0.83
huyhong6306,133444,0.72
alainnguyen227,133444,0.74
mymyhuynh1120,133444,0.73
sunny.tran.35,133444,0.82
0939712760,133444,0.8
nguynkimchu6373,133444,0.81
myhanh311291,133444,0.88
lovely_novice_007,133444,0.78
thanhtruc2111,133444,0.76
Myvan1529,133444,0.69
hdtuan93,238995,0.76
chomaychetsg,238995,0.95
samadhivayo,238995,0.96
hdtuan93,238995,0.68
khoa020619864322,238995,0.59
nguyenhongngan135,26514,0.07
huyphuong1187,26514,0.23
xuanphan87,26514,0.92
nhmm8931,26514,0.89
michelcuong,26514,0.81
danghuynhmaitrang,26514,0.26
michelcuong,26514,0.66
khuongtran5268,26514,0.45
doankd6772,26514,0.2
ronswift,218600,0.81
ronswift,218600,0.78
ngocminhnguyen1919,641666,0.34
huyhong6306,641666,0.82
Vy_0910,641666,0.89
hdtuan93,704171,0.74
hdtuan93,704171,0.86
huyhong6306,737994,0.8
hdtuan93,133384,0.8
buutung5289,133384,0.81
hdtuan93,133384,0.83
hdtuan93,133384,0.76
final_tears,133384,0.89
zzheokubizz6531,133384,0.29
zanly.baby,133384,0.83
cngtonl0950,133384,0.77
dangthihongthuy8814,133384,0.62
taiboohoo,133384,0.91
galaxynovar,133384,0.91
ttbms,133384,0.68
shikkap,133384,0.9
vietpham89105,133384,0.79
dinhhuy2203,133384,0.9
baprangbo_1176,678201,0.83
huyhong6306,678201,0.78
huyhong6306,678201,0.83
sunny.tran.35,678201,0.9
panda1983,19362,0.76
foodee_xmqw5wz8,19362,0.38
nguynhngphc9778,19362,0.3
duongngochongthi,19362,0.64
happynewyear.365,19362,0.69
thanh5231,19362,0.7
lmkhnhphng7120,19362,0.1
sweet_love118,19362,0.64
duongngochongthi,19362,0.62
buivuaihien,19362,0.95
copbeo666,19362,0.5
Myvan1529,19362,0.52
vitlun_hamchoi,19362,0.55
buutung5289,19362,0.72
my_shine_moon_2007,19362,0.72
trongaikg,19362,0.69
ematsyenguyen5268,19362,0.87
lamtruonghuy,19362,0.79
minhth4272,86709,0.77
hoc_86,86709,0.89
tminh0261,86709,0.84
nguyenthuytrucanh,86709,0.73
khuongtran5268,86709,0.71
helenphuongkhanh,86709,0.85
bichhuynguyen248,203846,0.82
bichhuyminhtri,203846,0.81
michelcuong,203846,0.73
ronswift,203846,0.81
agvinh,203846,0.78
bichhuyminhtri,203846,0.89
chanhphuongct,203846,0.82
agvinh,203846,0.77
hdtuan93,36615,0.69
hdtuan93,36615,0.68
kimngaho14,36615,0.78
lamthikimthu,36615,0.87
hotboybongdem3x,36615,0.82
ttbms,36615,0.65
giabot,36615,0.8
my_shine_moon_2007,36615,0.85
taysungmientay,36615,0.71
jimmy.nguyen1205,19393,0.86
panda1983,770017,0.85
hdtuan93,770017,0.75
lamthikimthu,640518,0.69
michelcuong,664218,0.68
panda1983,774476,0.84
daikabao,774476,0.83
foodee_19a24302,774476,0.88
foodee_0by0ifzp,774476,0.84
ngoisaomayman_2605,774476,0.85
Binh_An_Tran,774476,0.8
foodee_19a24302,774476,0.78
panda1983,774476,0.83
foodee_os3vgg99,774476,0.89
daikabao,774476,0.88
foodee_og6trtjf,774476,0.86
chienluockd.nhom2,774476,0.92
panda1983,774476,0.83
nhtho8158,774476,0.95
foodee_0by0ifzp,774476,0.92
panda1983,774476,0.89
foodee_dd6e3f51,774476,0.92
phanquynh1983,774476,0.86
hongloan777921,774476,0.97
daikabao,774476,0.84
hdtuan93,774476,0.82
sunha,72921,0.66
phuocmarketer,72921,0.8
mrduongtanan,72921,0.85
graced.ngo,72921,0.81
huyhong6306,190278,0.82
michelcuong,255481,0.56
lamthikimthu,639929,0.77
hdtuan93,704861,0.83
hdtuan93,704861,0.8
hdtuan93,704861,0.72
hdtuan93,770055,0.77
panda1983,26733,0.79
hdtuan93,26733,0.8
hdtuan.agp,26733,0.61
hdtuan93,26733,0.76
michelcuong,26733,0.75
chauhonghong,26733,0.8
buutung5289,26733,0.76
dragontql,26733,0.51
phamyves,26733,0.76
kenleehu,26733,0.85
Catherine_le,740490,0.53
jiach,740490,0.74
hdtuan93,26549,0.76
hdtuan93,26549,0.85
hdtuan93,26549,0.79
michelcuong,26549,0.86
foodee_549e9673,631711,0.87
minhphuongtran0603,270711,0.81
minhphuongtran0603,270711,0.86
duongngochongthi,270711,0.8
kimngaho14,270711,0.86
duongngochongthi,270711,0.8
muabandtdduk,774485,0.64
Thaitran1408,774485,0.79
hdtuan93,774485,0.83
foodee_q95omexs,744944,0.82
xunvinguyen,295306,0.19
foodyuser_2749ad18,295306,0.43
foodee_xok1vmda,295306,0.82
hdtuan93,295306,0.74
hdtuan93,295306,0.77
hdtuan93,295306,0.85
hdtuan.agp,295306,0.73
hdtuan93,295306,0.89
hdtuan93,295306,0.66
hdtuan93,295306,0.78
michelcuong,295306,0.87
ngthai11sh,295306,0.41
Myvan1529,295306,0.84
hongchau0909,210739,0.81
nguynhoiphng,250959,0.78
foodee_ygyuvbih,262447,0.76
lenguyenhongan0602,262447,0.47
bichtuyendtxd,262447,0.86
hdtuan93,262447,0.76
hdtuan93,262447,0.84
hdtuan.agp,262447,0.72
lamngochue1133,262447,0.92
hoangphuongdo93,262447,0.8
nguyenphuong9x,262447,0.71
hnp.97,262447,0.46
phuongnhiyixing,262447,0.72
trankimtu1507,262447,0.45
boiceledinh1995,698200,0.88
hdtuan93,698200,0.76
hdtuan93,698200,0.79
hdtuan93,698200,0.87
hdtuan.agp,698200,0.86
hdtuan.agp,698200,0.79
hdtuan93,698200,0.78
baprangbo_1176,719676,0.85
huyhong6306,719676,0.81
huyhong6306,719676,0.85
cactus1551994,190323,0.65
cactus1551994,190323,0.62
nguyndng6913,212372,0.83
huyhoang09101996,685834,0.79
huyhong6306,685834,0.84
lbmai1410,214473,0.43
kelsi.bichtran,214473,0.62
foodee_o5vnrtgc,1026633,0.94
michelcuong,630743,0.83
kimngaho14,233507,0.54
huong.vo2887,233507,0.74
hdtuan93,799548,0.81
Myvan1529,176551,0.76
mr_noname1997,204834,0.71
ngnnganguyncao,204834,0.9
giamy9498,204834,0.86
ttbms,204834,0.72
tuccunglusia,204834,0.89
cactus1551994,204834,0.8
foodee_q0o35zf9,867195,0.22
Catherine_le,72930,0.78
lphthai,72930,0.64
hdtuan93,72930,0.73
hdtuan.agp,72930,0.7
hdtuan93,72930,0.67
hdtuan93,774727,0.72
stevehuynhlx,721654,0.62
dtttvk,689320,0.88
hwahwa.hoahoa,689320,0.84
jantanaroo,689320,0.86
fanghienfilm,689320,0.72
hdtuan93,704172,0.65
hdtuan93,704172,0.71
hdtuan93,704172,0.72
hdtuan93,737198,0.79
hdtuan93,737198,0.84
foodee_9420bd8b,774282,0.7
foodee_xmqw5wz8,774282,0.5
phanhaithinh,774282,0.86
hdtuan93,774282,0.86
nguyentranngochau,754292,0.93
michelcuong,667576,0.68
hdtuan93,799541,0.72
khanhxmui,19384,0.97
ghi3003,19384,0.74
foodee_zgffg7ql,704184,0.92
hdtuan93,704184,0.81
hdtuan93,704184,0.81
hdtuan93,704184,0.7
panda1983,974381,0.82
panda1983,974381,0.78
ngtrsinh1991,704810,0.73
h2_story,958013,1.0
hwahwa.hoahoa,188158,0.84
hdtuan93,188158,0.82
hdtuan93,188158,0.82
hdtuan93,188158,0.86
hdtuan93,188158,0.77
ttbms,188158,0.83
huyhong6306,664292,0.84
hdtuan93,700091,0.77
hdtuan93,700091,0.85
hdtuan93,700091,0.85
hdtuan.agp,700091,0.79
hdtuan93,700091,0.88
cactus1551994,162946,0.88
cactus1551994,162946,0.85
panda1983,698201,0.72
toan113208,698201,0.89
hdtuan93,698201,0.72
hdtuan.agp,698201,0.76
hdtuan93,698201,0.82
lesonhoa381318,19369,0.76
jimmy.nguyen1205,19369,0.76
foodee_184451ad,716913,0.83
foodee_xmqw5wz8,716913,0.34
hdtuan93,716913,0.69
caotandat0003,716913,0.31
huyhong6306,737203,0.8
kwonzun612,245282,0.61
hdtuan93,245282,0.88
hdtuan93,245282,0.82
hdtuan.agp,245282,0.81
hdtuan93,245282,0.86
michelcuong,245282,0.8
michelcuong,300836,0.63
minhthien2003,311008,0.8
foodee_a4ukfcxz,311008,0.37
huyhong6306,311008,0.77
tutanhuy250296,311008,0.25
hdtuan93,311008,0.78
hunghunter23,311008,0.75
michelcuong,311008,0.86
nghia.chauphu,311008,0.87
nghia.chauphu,311008,0.89
michelcuong,311008,0.79
Myvan1529,311008,0.82
hdtuan93,770222,0.82
hdtuan93,241573,0.83
hdtuan93,241573,0.68
hdtuan93,241573,0.81
hdtuan.agp,241573,0.7
hdtuan93,241573,0.75
toan113208,720636,0.8
Catherine_le,720636,0.69
Catherine_le,720636,0.74
buutung5289,720636,0.85
hdtuan93,720636,0.78
hdtuan93,736655,0.71
minhphuongtran0603,628421,0.83
minhphuongtran0603,628421,0.81
foodee_f566760f,628421,0.85
minhphuongtran0603,628421,0.7
nguyenthuytrucanh,628421,0.91
michelcuong,628421,0.81
Maiquangthuan,82808,0.97
machthuy1959,765599,0.87
maivosonnguyen,765599,0.48
NguyenLai,765599,0.8
boiceledinh1995,102618,0.55
NgocAnh899,102618,0.27
paphanhh,102618,0.38
quocviet1294,102618,0.81
hdtuan93,102618,0.84
ivy.mouse.ivy,102618,0.94
hdtuan93,102618,0.8
hdtuan93,102618,0.84
hothi_thuyduy,102618,0.87
hdtuan93,102618,0.8
foodee_ygyuvbih,102618,0.57
hdtuan93,102618,0.61
apple_wie_denny,102618,0.68
foodee_ygyuvbih,102618,0.79
huyhong6306,102618,0.47
michelcuong,102618,0.69
chivienphan0201,102618,0.84
ttbms,102618,0.75
nguyenngocha1995,102618,0.74
mr.chanlee78,102618,0.71
foodee_62249c38,768310,0.84
hdtuan93,203491,0.68
ttbms,203491,0.85
anhienm1232901,213377,0.74
Catherine_le,689887,0.59
trung02021996,689887,0.76
hdtuan93,689887,0.8
hdtuan93,689887,0.68
panda1983,237499,0.86
phanquynh1983,237499,0.88
quynhquynh_9696,237499,0.75
hdtuan93,237499,0.83
phuonglam14055459,83188,0.83
thanhmaibui,83188,0.8
Myvan1529,83188,0.8
Lienlongxuyen82,222111,0.65
ttbms,35834,0.69
ttbms,35834,0.52
thanhmaibui,122600,0.69
lamthikimthu,636846,0.97
Hangnguyen24788,26750,0.93
lee_san_oc,26750,0.18
le.mai0307,26750,0.97
lbmai1410,26750,0.72
michelcuong,26750,0.71
boy_maiyeu25,26750,0.66
anhienm1232901,26750,0.49
thuytran0170,26750,0.86
thuytran0170,26750,0.83
hettjn_vjem,26750,0.54
Myvan1529,26750,0.64
tientran1802,26750,0.61
my_shine_moon_2007,26750,0.76
mr.chanlee78,26750,0.66
taysungmientay,26750,0.69
lannhii1310,264767,0.31
MongThy,264767,0.61
hdtuan93,264767,0.81
nguyenthuytrucanh,264767,0.68
nghia.chauphu,264767,0.87
foodyuser_19637fb2,264767,0.52
michelcuong,664297,0.73
hmtuandst,178360,0.78
baprangbo_1176,719741,0.81
huyhong6306,719741,0.8
baprangbo_1176,719741,0.83
huyhong6306,719741,0.8
nghia.chauphu,148546,0.79
peni_nini,148546,0.73
hdtuan93,166068,0.84
hdtuan.agp,166068,0.72
hdtuan93,166068,0.76
ttbms,166068,0.76
ttbms,166068,0.77
ttbms,166068,0.74
ttbms,166068,0.73
ttbms,166068,0.79
ttbms,166068,0.68
ttbms,166068,0.68
hongchau0909,166068,0.84
ttbms,166068,0.75
hdtuan93,708663,0.82
hdtuan93,708663,0.85
hdtuan93,708663,0.84
tientien511,26572,0.75
foodee_zqil6m3b,26572,0.07
nucuoithienthan_f4,26572,0.28
kopehuynh,26572,0.21
hdtuan93,26572,0.77
tocmay1072008,26572,0.87
hdtuan.agp,26572,0.74
michelcuong,26572,0.75
dungquach2608,26572,0.75
boy_maiyeu25,26572,0.78
0971159089,26572,0.77
kimthanhnguyenhuu,26572,0.67
quangtin3281,26572,0.76
thanh.silentkeeper,26572,0.73
buutung5289,26572,0.83
huyhong6306,737201,0.77
hdtuan93,276587,0.78
hdtuan93,276587,0.79
duc_nam696,276587,0.59
hdtuan93,246681,0.79
baprangbo_1176,720078,0.81
huyhong6306,720078,0.82
huyhong6306,720078,0.83
hdtuan93,674868,0.82
hdtuan93,674868,0.75
hdtuan93,674868,0.77
hdtuan.agp,674868,0.79
hdtuan93,674868,0.87
fattysuna,175422,0.73
meoiumeomap,175422,0.63
nguyen_nho,245640,0.29
hdtuan93,245640,0.8
hdtuan93,245640,0.88
hdtuan.agp,245640,0.81
hdtuan93,245640,0.86
rongmuaxuan,79723,0.86
xunla,698205,0.99
hdtuan.agp,698205,0.74
hdtuan93,698205,0.81
hdtuan93,246326,0.76
hdtuan.agp,246326,0.79
xtung.ngo,246326,0.87
mr_noname1997,246326,0.76
le.phuongquyen.9,246326,0.89
nancy_crazy97,246326,0.61
foodee_1o22helm,315531,0.71
thienthan_bongdem_lx2000,315531,0.74
hdtuan.agp,315531,0.72
linhlilom347,315531,0.53
hdtuan93,315531,0.75
nguyenthuytrucanh,315531,0.7
nguyenthuytrucanh,315531,0.77
ttbms,315531,0.55
Catherine_le,774556,0.78
hdtuan93,653335,0.78
hdtuan93,653335,0.78
hdtuan93,653335,0.87
huyhoang09101996,653335,0.82
huyhong6306,653335,0.84
hdtuan93,653335,0.82
hdtuan.agp,653335,0.82
huyhoang09101996,653335,0.8
huyhong6306,653335,0.83
hdtuan93,653335,0.88
huyhoang09101996,653335,0.83
huyhong6306,653335,0.81
hdtuan93,653335,0.76
danghuynhhoa,653335,0.55
lamthikimthu,653335,0.84
Myvan1529,85518,0.68
leekenpark,212700,0.92
ngoisaous,212700,0.77
foodee_zkpo4y61,212700,0.26
hdtuan93,212700,0.82
ducmanhnguyen1987,212700,0.54
hdtuan93,212700,0.83
phuongnhiyixing,212700,0.64
hdtuan93,212700,0.6
hdtuan93,212700,0.73
tran.haiyen.1992,212700,0.84
lamthikimthu,212700,0.83
ngthai11sh,212700,0.79
ttbms,212700,0.59
khanhnguyen1189,212700,0.79
lamtran8696,212700,0.62
ttbms,212700,0.77
0971159089,212700,0.75
ttbms,212700,0.71
nguyentrananhvu180593,212700,0.84
pesuaanh,212700,0.76
nghia.chauphu,212700,0.8
cactus131162,212700,0.67
ronswift,212700,0.81
hdtuan93,720647,0.74
thanhtung88ag,693618,0.27
hdtuan.agp,693618,0.78
hdtuan93,693618,0.73
suminhon16,863518,0.83
hwahwa.hoahoa,863518,0.73
michelcuong,244509,0.73
Nguyenphuong912,276557,0.38
justices_03,276557,0.71
foodee_zebd33m6,276557,0.14
duyenho1594,276557,0.76
hdtuan93,276557,0.85
hdtuan93,276557,0.73
hdtuan93,276557,0.82
hdtuan93,276557,0.79
lamthikimthu,276557,0.83
nghia.chauphu,276557,0.88
ttbms,276557,0.62
ngocan.ngo.5,284998,0.49
hunghunter23,284998,0.63
lamthikimthu,284998,0.79
minhbo1992,284998,0.81
Myvan1529,284998,0.83
huyhong6306,739236,0.85
nghong7735,987604,0.93
hiduynl,987604,0.87
vithnginh,987604,0.92
hulinhtrnth,987604,0.89
thichihth,987604,0.95
thanhphngtrn505479873,987604,0.92
foodee_cmibto6b,987604,0.92
mhip8956,987604,0.95
tlyvth,987604,0.85
nhlinhl628597004,987604,0.89
xunynngth,987604,0.89
thymaith507378691,987604,0.92
dinvphanth,987604,0.85
nhiuyn355729715,987604,0.92
peteked285,987604,0.9
nesafa3652,987604,0.95
humyl,987604,0.93
foodee_cmibto6b,987604,0.86
kajor82487,987604,0.85
limit54366,987604,0.92
nghing1978751583,987604,0.97
gianhil,987604,0.97
anlinh1852173042,987604,0.97
nghihong6855,987604,0.9
nhltrn154107982,987604,0.94
hlinh1739776367,987604,0.89
foodee_o5vnrtgc,987604,0.95
foodee_o5vnrtgc,987604,0.97
foodee_ng640omj,987604,0.29
foodee_rpoxh28o,987604,0.92
nguynminh4961,987604,0.44
foodee_e6gdv5hc,987604,0.96
foodee_kq8pedu9,987604,0.97
foodee_edk58wnr,987604,0.83
foodee_edk58wnr,987604,0.84
foodee_c6piqdep,987604,0.81
foodee_c6piqdep,987604,0.9
foodee_b4idx4ot,987604,0.92
foodee_p5d4s2ju,987604,0.91
hdtuan93,190394,0.72
ttbms,190394,0.58
hdtuan93,716923,0.8
kidrock9x,171887,0.92
michelcuong,171887,0.8
foodee_xmqw5wz8,788500,0.5
thuuha999,788500,0.52
foodee_qx0tiq8d,788500,0.67
michelcuong,245597,0.8
duongngochongthi,255487,0.67
huyhong6306,730203,0.85
baprangbo_1176,730203,0.81
huyhong6306,730203,0.84
